                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1059,                0.77669,                 1.1689,                0.59118,                0.60411,                0.60866,                0.41988,                 1.1816,                0.80688,                 1.2879,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.0949,                0.76435,                 1.1693,                0.64991,                0.60669,                0.64412,                0.44608,                  1.179,                0.76873,                 1.2866,              0.0010894,              0.0010894,              0.0010894
                     37,                  1.107,                0.77073,                 1.1736,                0.67226,                0.57372,                0.63435,                0.44769,                 1.1668,                 0.7604,                 1.2918,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.0904,                0.76339,                 1.1661,                0.63516,                0.61445,                0.64957,                0.44831,                 1.1732,                0.75868,                 1.2912,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.0928,                0.74545,                 1.1619,                0.64141,                0.54346,                0.64773,                0.45088,                 1.1667,                0.88693,                 1.2867,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.0879,                0.76091,                 1.1597,                0.68253,                0.64127,                0.67441,                0.47434,                 1.1651,                0.74523,                 1.2688,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.0827,                0.74867,                 1.1564,                0.57971,                 0.5992,                0.63341,                0.43801,                 1.1708,                0.78638,                 1.2921,              0.0010069,              0.0010069,              0.0010069
                     42,                 1.0856,                0.73737,                 1.1642,                0.63267,                0.63313,                0.67569,                0.46484,                  1.171,                0.89969,                 1.2803,             0.00099036,             0.00099036,             0.00099036
                     43,                 1.0804,                0.74249,                 1.1557,                 0.6458,                0.65425,                  0.665,                0.46228,                 1.1681,                0.82554,                 1.2918,             0.00097386,             0.00097386,             0.00097386
                     44,                  1.076,                0.73414,                 1.1567,                 0.6126,                 0.6054,                0.63727,                0.44995,                 1.1659,                0.76034,                 1.2974,             0.00095736,             0.00095736,             0.00095736
                     45,                 1.0716,                0.72287,                  1.156,                0.66517,                0.62985,                0.67462,                0.46462,                   1.17,                0.75211,                 1.2999,             0.00094085,             0.00094085,             0.00094085
                     46,                 1.0673,                0.72977,                 1.1553,                 0.6731,                0.66561,                0.69473,                0.48404,                 1.1732,                0.74284,                 1.2978,             0.00092435,             0.00092435,             0.00092435
                     47,                 1.0648,                0.72299,                 1.1549,                 0.6763,                0.63292,                0.67366,                0.47149,                 1.1714,                0.74846,                 1.2883,             0.00090785,             0.00090785,             0.00090785
                     48,                  1.058,                0.72015,                 1.1549,                0.63846,                0.61955,                0.65141,                0.45664,                 1.1891,                0.76703,                 1.3026,             0.00089134,             0.00089134,             0.00089134
                     49,                 1.0632,                0.70919,                 1.1571,                0.61599,                0.62693,                0.65373,                0.45498,                 1.1755,                 0.7564,                 1.3026,             0.00087484,             0.00087484,             0.00087484
                     50,                 1.0547,                 0.7015,                 1.1505,                0.65596,                0.53083,                0.65115,                0.45283,                 1.1958,                0.79709,                 1.2888,             0.00085834,             0.00085834,             0.00085834
                     51,                 1.0571,                0.69846,                  1.148,                0.60737,                 0.6041,                0.62752,                0.43273,                  1.182,                0.78261,                 1.3148,             0.00084184,             0.00084184,             0.00084184
                     52,                 1.0504,                0.69948,                 1.1432,                 0.6589,                0.58839,                0.64934,                0.44214,                 1.1863,                0.80912,                 1.3189,             0.00082533,             0.00082533,             0.00082533
                     53,                 1.0436,                0.68248,                 1.1425,                0.60632,                0.58212,                0.64888,                 0.4474,                 1.1942,                0.81594,                 1.3077,             0.00080883,             0.00080883,             0.00080883
                     54,                 1.0404,                0.69337,                 1.1463,                0.66183,                0.61648,                0.66977,                0.46744,                 1.1868,                0.75284,                    1.3,             0.00079233,             0.00079233,             0.00079233
                     55,                  1.039,                0.67398,                 1.1446,                0.65024,                0.59992,                0.64552,                0.44603,                 1.1853,                0.76668,                 1.3028,             0.00077582,             0.00077582,             0.00077582
                     56,                 1.0402,                0.68216,                 1.1446,                0.61226,                0.65076,                0.64827,                0.45049,                 1.1835,                 0.7631,                 1.3168,             0.00075932,             0.00075932,             0.00075932
                     57,                 1.0323,                0.67177,                 1.1378,                 0.6074,                0.68598,                0.67031,                0.46232,                 1.1732,                0.76598,                 1.3071,             0.00074282,             0.00074282,             0.00074282
                     58,                 1.0377,                0.66143,                 1.1397,                0.65972,                0.62846,                0.67102,                0.46338,                 1.1702,                0.75493,                 1.2967,             0.00072631,             0.00072631,             0.00072631
                     59,                 1.0252,                0.66318,                 1.1341,                0.71084,                0.57624,                 0.6452,                 0.4524,                 1.1669,                0.78349,                 1.3022,             0.00070981,             0.00070981,             0.00070981
                     60,                 1.0219,                0.66431,                 1.1269,                0.62424,                0.62484,                0.65916,                0.46027,                 1.1675,                0.75795,                 1.3061,             0.00069331,             0.00069331,             0.00069331
                     61,                 1.0174,                0.64689,                 1.1313,                0.65295,                0.61858,                0.64749,                0.45114,                 1.1707,                0.76287,                 1.2947,              0.0006768,              0.0006768,              0.0006768
                     62,                 1.0172,                0.64037,                 1.1385,                0.58021,                 0.6766,                0.66175,                0.46168,                 1.1732,                0.75625,                 1.3079,              0.0006603,              0.0006603,              0.0006603
                     63,                 1.0107,                0.64846,                 1.1285,                0.65036,                0.60823,                0.65086,                0.45503,                 1.1897,                0.78214,                 1.3201,              0.0006438,              0.0006438,              0.0006438
                     64,                   1.01,                 0.6331,                 1.1286,                0.63505,                 0.6589,                0.66246,                 0.4591,                 1.1875,                0.77065,                 1.3257,             0.00062729,             0.00062729,             0.00062729
                     65,                 1.0079,                0.63347,                 1.1312,                0.62076,                0.67273,                0.68232,                0.47738,                 1.1812,                0.76459,                 1.3201,             0.00061079,             0.00061079,             0.00061079
                     66,                0.99246,                0.62086,                 1.1244,                0.66252,                 0.6025,                0.66046,                0.46035,                  1.177,                0.76355,                 1.3134,             0.00059429,             0.00059429,             0.00059429
                     67,                 0.9915,                0.62854,                 1.1161,                0.57127,                0.65777,                0.64762,                0.45159,                 1.1933,                0.77117,                  1.313,             0.00057778,             0.00057778,             0.00057778
